Dish,Dieting_Level,Spice_Level,Time_of_Day,Age_Group,Preferred_Cuisine
Tandoori,Medium,Mild,Dinner,Adult,Indian
Frittata,Low,Medium,Breakfast,Senior,Italian
Tandoori,Medium,Spicy,Dinner,Senior,Indian
Burrito,Low,Spicy,Lunch,Senior,Mexican
Curry,Low,Medium,Lunch,Senior,Indian
Enchilada,High,Medium,Dinner,Child,Mexican
Tacos,Low,Medium,Breakfast,Adult,Mexican
Fries,Medium,Spicy,Lunch,Adult,American
Sweet & Sour,Low,Medium,Dinner,Senior,Chinese
Frittata,High,Mild,Breakfast,Adult,Italian
Risotto,Medium,Mild,Dinner,Adult,Italian
Risotto,High,Spicy,Dinner,Child,Italian
Tacos,Low,Spicy,Breakfast,Adult,Mexican
Quesadilla,High,Medium,Lunch,Adult,Mexican
Pasta,High,Medium,Lunch,Senior,Italian
Fried Rice,Medium,Medium,Lunch,Adult,Chinese
Enchilada,Medium,Spicy,Dinner,Senior,Mexican
Tacos,Medium,Spicy,Breakfast,Child,Mexican
Noodles,High,Spicy,Lunch,Adult,Chinese
Dim Sum,Low,Spicy,Breakfast,Child,Chinese
Sweet & Sour,Low,Mild,Dinner,Adult,Chinese
Frittata,High,Mild,Breakfast,Child,Italian
Paratha,Medium,Medium,Breakfast,Senior,Indian
Biryani,Medium,Medium,Lunch,Senior,Indian
Fries,High,Medium,Lunch,Senior,American
Burrito,High,Mild,Lunch,Adult,Mexican
Pancakes,Low,Spicy,Breakfast,Child,American
Steak,Low,Medium,Dinner,Child,American
Paratha,Medium,Medium,Breakfast,Senior,Indian
Idli,Medium,Mild,Breakfast,Adult,Indian
Curry,High,Spicy,Lunch,Adult,Indian
Tacos,High,Medium,Breakfast,Senior,Mexican
Pancakes,Medium,Spicy,Breakfast,Child,American
Enchilada,Low,Medium,Dinner,Adult,Mexican
Fries,Medium,Spicy,Lunch,Child,American
Dim Sum,Medium,Medium,Breakfast,Child,Chinese
Burger,High,Medium,Lunch,Senior,American
Pancakes,Low,Medium,Breakfast,Senior,American
Enchilada,High,Mild,Dinner,Child,Mexican
Tacos,Medium,Medium,Breakfast,Senior,Mexican
Enchilada,Medium,Mild,Dinner,Senior,Mexican
Frittata,Low,Mild,Breakfast,Senior,Italian
Noodles,Low,Mild,Lunch,Adult,Chinese
Noodles,Medium,Medium,Lunch,Child,Chinese
Frittata,Medium,Mild,Breakfast,Senior,Italian
Chili,Medium,Medium,Dinner,Child,Mexican
Burger,Low,Spicy,Lunch,Child,American
Frittata,Medium,Spicy,Breakfast,Child,Italian
Curry,High,Medium,Lunch,Senior,Indian
Burger,Low,Spicy,Lunch,Senior,American
Dumplings,Medium,Mild,Dinner,Child,Chinese
Burger,Medium,Mild,Lunch,Child,American
Enchilada,Medium,Spicy,Dinner,Child,Mexican
Burger,High,Mild,Lunch,Senior,American
Burger,Low,Mild,Lunch,Senior,American
Enchilada,High,Medium,Dinner,Child,Mexican
Paneer,High,Medium,Dinner,Adult,Indian
Burrito,High,Medium,Lunch,Senior,Mexican
Enchilada,Low,Medium,Dinner,Child,Mexican
Paratha,Medium,Mild,Breakfast,Senior,Indian
Lasagna,High,Mild,Dinner,Senior,Italian
Burger,Low,Spicy,Lunch,Senior,American
Pasta,Medium,Medium,Lunch,Adult,Italian
Sweet & Sour,Medium,Spicy,Dinner,Adult,Chinese
Tandoori,Low,Medium,Dinner,Child,Indian
Sweet & Sour,Medium,Mild,Dinner,Senior,Chinese
Dim Sum,Medium,Spicy,Breakfast,Adult,Chinese
Noodles,High,Spicy,Lunch,Senior,Chinese
Pizza,Low,Spicy,Lunch,Senior,Italian
Noodles,High,Medium,Lunch,Adult,Chinese
Fried Rice,Low,Spicy,Lunch,Adult,Chinese
Enchilada,Medium,Spicy,Dinner,Adult,Mexican
Steak,Low,Spicy,Dinner,Senior,American
Dim Sum,Medium,Mild,Breakfast,Senior,Chinese
Fries,Medium,Medium,Lunch,Child,American
Risotto,High,Spicy,Dinner,Adult,Italian
Dim Sum,High,Spicy,Breakfast,Adult,Chinese
Pancakes,High,Mild,Breakfast,Child,American
Curry,Medium,Spicy,Lunch,Senior,Indian
Enchilada,Medium,Medium,Dinner,Child,Mexican
Dim Sum,Low,Medium,Breakfast,Adult,Chinese
Dim Sum,High,Mild,Breakfast,Senior,Chinese
Chili,Medium,Spicy,Dinner,Child,Mexican
Quesadilla,High,Mild,Lunch,Child,Mexican
Idli,Medium,Medium,Breakfast,Child,Indian
Burger,Medium,Spicy,Lunch,Child,American
Pancakes,Low,Spicy,Breakfast,Child,American
Noodles,High,Medium,Lunch,Senior,Chinese
Sweet & Sour,High,Spicy,Dinner,Child,Chinese
Tandoori,Medium,Mild,Dinner,Child,Indian
Pizza,Medium,Spicy,Lunch,Senior,Italian
Dim Sum,Medium,Spicy,Breakfast,Senior,Chinese
Dim Sum,Medium,Spicy,Breakfast,Senior,Chinese
Salad,Low,Mild,Dinner,Senior,American
Fries,Medium,Medium,Lunch,Senior,American
Pizza,Low,Mild,Lunch,Child,Italian
Sweet & Sour,Low,Spicy,Dinner,Senior,Chinese
Pasta,High,Medium,Lunch,Adult,Italian
Pancakes,Low,Mild,Breakfast,Child,American
Lasagna,High,Medium,Dinner,Adult,Italian
Dumplings,High,Mild,Dinner,Senior,Chinese
Quesadilla,High,Mild,Lunch,Child,Mexican
Idli,High,Mild,Breakfast,Child,Indian
Dumplings,Medium,Medium,Dinner,Adult,Chinese
Paratha,Medium,Medium,Breakfast,Child,Indian
Risotto,High,Medium,Dinner,Adult,Italian
Pasta,High,Spicy,Lunch,Child,Italian
Frittata,High,Mild,Breakfast,Adult,Italian
Fried Rice,Medium,Mild,Lunch,Senior,Chinese
Dim Sum,Low,Mild,Breakfast,Senior,Chinese
Salad,High,Mild,Dinner,Senior,American
Idli,Medium,Medium,Breakfast,Senior,Indian
Tacos,High,Medium,Breakfast,Child,Mexican
Frittata,Low,Medium,Breakfast,Senior,Italian
Frittata,Low,Mild,Breakfast,Child,Italian
Paneer,Medium,Medium,Dinner,Child,Indian
Sweet & Sour,Low,Medium,Dinner,Adult,Chinese
Dumplings,Medium,Spicy,Dinner,Adult,Chinese
Frittata,Low,Spicy,Breakfast,Child,Italian
Fries,Medium,Spicy,Lunch,Adult,American
Salad,Low,Mild,Dinner,Senior,American
Tacos,Low,Medium,Breakfast,Child,Mexican
Pasta,Medium,Spicy,Lunch,Child,Italian
Tacos,High,Medium,Breakfast,Adult,Mexican
Salad,High,Mild,Dinner,Child,American
Steak,High,Mild,Dinner,Child,American
Frittata,Medium,Mild,Breakfast,Adult,Italian
Fries,Low,Mild,Lunch,Senior,American
Lasagna,Medium,Mild,Dinner,Senior,Italian
Steak,High,Mild,Dinner,Senior,American
Dim Sum,Low,Spicy,Breakfast,Adult,Chinese
Frittata,High,Spicy,Breakfast,Adult,Italian
Tandoori,Low,Mild,Dinner,Adult,Indian
Pancakes,High,Spicy,Breakfast,Child,American
Pizza,High,Mild,Lunch,Adult,Italian
Tacos,Medium,Mild,Breakfast,Adult,Mexican
Idli,Medium,Spicy,Breakfast,Adult,Indian
Curry,High,Medium,Lunch,Senior,Indian
Salad,Medium,Spicy,Dinner,Adult,American
Noodles,Low,Mild,Lunch,Child,Chinese
Burrito,Low,Spicy,Lunch,Adult,Mexican
Pancakes,High,Medium,Breakfast,Child,American
Noodles,High,Spicy,Lunch,Adult,Chinese
Salad,Low,Medium,Dinner,Child,American
Burrito,High,Medium,Lunch,Child,Mexican
Burrito,Low,Spicy,Lunch,Adult,Mexican
Tacos,Low,Spicy,Breakfast,Senior,Mexican
Pancakes,Low,Medium,Breakfast,Senior,American
Paneer,Low,Medium,Dinner,Child,Indian
Tacos,Medium,Mild,Breakfast,Senior,Mexican
Lasagna,Medium,Spicy,Dinner,Adult,Italian
Frittata,Low,Medium,Breakfast,Child,Italian
Burrito,Low,Spicy,Lunch,Child,Mexican
Fries,Low,Mild,Lunch,Senior,American
Risotto,Medium,Mild,Dinner,Child,Italian
Pasta,Medium,Medium,Lunch,Child,Italian
Tacos,High,Spicy,Breakfast,Adult,Mexican
Quesadilla,High,Spicy,Lunch,Senior,Mexican
Curry,Low,Mild,Lunch,Senior,Indian
Burrito,High,Spicy,Lunch,Senior,Mexican
Steak,High,Mild,Dinner,Child,American
Tacos,High,Spicy,Breakfast,Adult,Mexican
Noodles,High,Spicy,Lunch,Adult,Chinese
Dim Sum,Medium,Spicy,Breakfast,Senior,Chinese
Pasta,Medium,Mild,Lunch,Senior,Italian
Tandoori,Low,Medium,Dinner,Adult,Indian
Fried Rice,Medium,Medium,Lunch,Adult,Chinese
Pizza,Low,Spicy,Lunch,Senior,Italian
Paneer,High,Medium,Dinner,Adult,Indian
Tacos,Low,Medium,Breakfast,Child,Mexican
Idli,Medium,Medium,Breakfast,Senior,Indian
Sweet & Sour,Low,Spicy,Dinner,Child,Chinese
Paneer,Low,Spicy,Dinner,Senior,Indian
Curry,High,Mild,Lunch,Senior,Indian
Noodles,Low,Mild,Lunch,Adult,Chinese
Lasagna,Medium,Spicy,Dinner,Senior,Italian
Salad,Medium,Spicy,Dinner,Adult,American
Tacos,Medium,Mild,Breakfast,Child,Mexican
Pancakes,Low,Spicy,Breakfast,Senior,American
Fries,Low,Mild,Lunch,Adult,American
Tandoori,High,Mild,Dinner,Adult,Indian
Dim Sum,Low,Medium,Breakfast,Child,Chinese
Dumplings,Medium,Medium,Dinner,Adult,Chinese
Frittata,Low,Medium,Breakfast,Senior,Italian
Pasta,Medium,Spicy,Lunch,Adult,Italian
Frittata,Medium,Mild,Breakfast,Child,Italian
Sweet & Sour,High,Medium,Dinner,Senior,Chinese
Pancakes,Medium,Spicy,Breakfast,Adult,American
Fried Rice,High,Medium,Lunch,Senior,Chinese
Tacos,Low,Mild,Breakfast,Adult,Mexican
Biryani,Low,Medium,Lunch,Adult,Indian
Idli,Medium,Medium,Breakfast,Adult,Indian
Enchilada,Low,Spicy,Dinner,Adult,Mexican
Frittata,Low,Spicy,Breakfast,Adult,Italian
Paneer,Medium,Mild,Dinner,Senior,Indian
Frittata,Medium,Mild,Breakfast,Senior,Italian
Dim Sum,Medium,Spicy,Breakfast,Child,Chinese
Frittata,Medium,Medium,Breakfast,Child,Italian
Chili,High,Mild,Dinner,Child,Mexican
Risotto,Low,Spicy,Dinner,Child,Italian
Chili,Low,Spicy,Dinner,Adult,Mexican
Tacos,Medium,Mild,Breakfast,Senior,Mexican
Lasagna,High,Mild,Dinner,Senior,Italian
Frittata,Low,Spicy,Breakfast,Adult,Italian
Burger,Low,Mild,Lunch,Adult,American
Chili,Medium,Spicy,Dinner,Adult,Mexican
Salad,Medium,Spicy,Dinner,Child,American
Pancakes,Low,Medium,Breakfast,Senior,American
Pancakes,High,Spicy,Breakfast,Adult,American
Lasagna,Medium,Medium,Dinner,Adult,Italian
Enchilada,Medium,Spicy,Dinner,Adult,Mexican
Pancakes,Low,Spicy,Breakfast,Adult,American
Pancakes,Low,Mild,Breakfast,Child,American
Lasagna,Low,Mild,Dinner,Senior,Italian
Paratha,Medium,Medium,Breakfast,Adult,Indian
Risotto,Low,Mild,Dinner,Senior,Italian
Fries,High,Mild,Lunch,Child,American
Tacos,Medium,Spicy,Breakfast,Adult,Mexican
Paneer,High,Spicy,Dinner,Senior,Indian
Steak,High,Mild,Dinner,Senior,American
Fried Rice,Low,Spicy,Lunch,Senior,Chinese
Tandoori,High,Spicy,Dinner,Adult,Indian
Dim Sum,Medium,Spicy,Breakfast,Child,Chinese
Pancakes,Medium,Spicy,Breakfast,Senior,American
Pizza,High,Medium,Lunch,Senior,Italian
Tacos,Low,Medium,Breakfast,Child,Mexican
Burrito,Medium,Spicy,Lunch,Child,Mexican
Idli,High,Medium,Breakfast,Child,Indian
Noodles,Medium,Mild,Lunch,Senior,Chinese
Pancakes,Low,Medium,Breakfast,Adult,American
Noodles,Low,Mild,Lunch,Senior,Chinese
Paneer,Medium,Spicy,Dinner,Child,Indian
Pancakes,High,Spicy,Breakfast,Senior,American
Fries,Low,Mild,Lunch,Child,American
Quesadilla,Medium,Medium,Lunch,Senior,Mexican
Steak,High,Spicy,Dinner,Child,American
Sweet & Sour,Medium,Medium,Dinner,Child,Chinese
Dim Sum,High,Spicy,Breakfast,Senior,Chinese
Fried Rice,Medium,Medium,Lunch,Child,Chinese
Fries,Medium,Mild,Lunch,Adult,American
Paneer,Medium,Mild,Dinner,Adult,Indian
Chili,High,Spicy,Dinner,Adult,Mexican
Sweet & Sour,Medium,Mild,Dinner,Child,Chinese
Pasta,High,Medium,Lunch,Adult,Italian
Tacos,Medium,Mild,Breakfast,Adult,Mexican
Paratha,Low,Medium,Breakfast,Senior,Indian
Sweet & Sour,Medium,Medium,Dinner,Child,Chinese
Sweet & Sour,Medium,Medium,Dinner,Adult,Chinese
Burger,High,Medium,Lunch,Senior,American
Idli,Low,Medium,Breakfast,Child,Indian
Sweet & Sour,Medium,Mild,Dinner,Child,Chinese
Frittata,Medium,Spicy,Breakfast,Child,Italian
Tandoori,High,Spicy,Dinner,Child,Indian
Pizza,Medium,Mild,Lunch,Senior,Italian
Dumplings,Medium,Medium,Dinner,Senior,Chinese
Fried Rice,Low,Mild,Lunch,Adult,Chinese
Frittata,Medium,Mild,Breakfast,Child,Italian
Pancakes,High,Medium,Breakfast,Senior,American
Biryani,High,Spicy,Lunch,Senior,Indian
Curry,High,Medium,Lunch,Child,Indian
Pizza,Medium,Mild,Lunch,Adult,Italian
Curry,Low,Mild,Lunch,Senior,Indian
Sweet & Sour,Low,Mild,Dinner,Adult,Chinese
Fries,High,Medium,Lunch,Child,American
Salad,High,Spicy,Dinner,Adult,American
Tandoori,Medium,Medium,Dinner,Senior,Indian
Steak,Low,Mild,Dinner,Child,American
Biryani,Medium,Spicy,Lunch,Senior,Indian
Dim Sum,Medium,Mild,Breakfast,Child,Chinese
Fried Rice,Medium,Mild,Lunch,Senior,Chinese
Risotto,Medium,Mild,Dinner,Adult,Italian
Burger,Low,Mild,Lunch,Child,American
Paratha,Medium,Mild,Breakfast,Child,Indian
Pancakes,Low,Medium,Breakfast,Adult,American
Pancakes,Medium,Spicy,Breakfast,Senior,American
Salad,Medium,Mild,Dinner,Adult,American
Frittata,Low,Mild,Breakfast,Adult,Italian
Fries,High,Mild,Lunch,Adult,American
Pancakes,Medium,Mild,Breakfast,Adult,American
Sweet & Sour,Medium,Mild,Dinner,Senior,Chinese
Risotto,High,Spicy,Dinner,Senior,Italian
Quesadilla,High,Mild,Lunch,Child,Mexican
Paneer,High,Mild,Dinner,Adult,Indian
Tandoori,High,Mild,Dinner,Child,Indian
Salad,Medium,Spicy,Dinner,Child,American
Chili,High,Mild,Dinner,Senior,Mexican
Salad,Medium,Mild,Dinner,Child,American
Burrito,Medium,Medium,Lunch,Senior,Mexican
Chili,Low,Medium,Dinner,Adult,Mexican
Burrito,High,Mild,Lunch,Senior,Mexican
Pasta,High,Spicy,Lunch,Child,Italian
Salad,High,Medium,Dinner,Adult,American
Dim Sum,Medium,Spicy,Breakfast,Child,Chinese
Tacos,Low,Spicy,Breakfast,Child,Mexican
Paratha,High,Mild,Breakfast,Child,Indian
Frittata,Low,Mild,Breakfast,Senior,Italian
Pancakes,Low,Spicy,Breakfast,Child,American
Idli,Low,Medium,Breakfast,Senior,Indian
Fried Rice,Medium,Mild,Lunch,Senior,Chinese
Dim Sum,Medium,Medium,Breakfast,Adult,Chinese
Chili,Low,Spicy,Dinner,Adult,Mexican
Pancakes,High,Medium,Breakfast,Senior,American
Burrito,High,Medium,Lunch,Senior,Mexican
Salad,Medium,Spicy,Dinner,Adult,American
Burrito,Medium,Mild,Lunch,Senior,Mexican
Curry,Low,Spicy,Lunch,Child,Indian
Burger,Low,Spicy,Lunch,Adult,American
Tacos,Medium,Mild,Breakfast,Senior,Mexican
Tandoori,Low,Medium,Dinner,Child,Indian
Pancakes,High,Mild,Breakfast,Senior,American
Paratha,High,Mild,Breakfast,Senior,Indian
Tacos,Low,Mild,Breakfast,Child,Mexican
Fried Rice,Low,Spicy,Lunch,Child,Chinese
Risotto,Low,Spicy,Dinner,Senior,Italian
Idli,Medium,Medium,Breakfast,Senior,Indian
Curry,Low,Spicy,Lunch,Child,Indian
Frittata,Medium,Spicy,Breakfast,Adult,Italian
Fries,Medium,Mild,Lunch,Child,American
Pizza,Medium,Spicy,Lunch,Senior,Italian
Tandoori,High,Spicy,Dinner,Child,Indian
Quesadilla,Low,Spicy,Lunch,Adult,Mexican
Noodles,Medium,Spicy,Lunch,Senior,Chinese
Frittata,Medium,Medium,Breakfast,Senior,Italian
Pancakes,High,Spicy,Breakfast,Child,American
Steak,High,Spicy,Dinner,Senior,American
Burger,High,Mild,Lunch,Adult,American
Dim Sum,Medium,Mild,Breakfast,Child,Chinese
Steak,Medium,Medium,Dinner,Adult,American
Risotto,Medium,Spicy,Dinner,Senior,Italian
Pancakes,Low,Spicy,Breakfast,Senior,American
Pasta,Medium,Mild,Lunch,Child,Italian
Tacos,High,Mild,Breakfast,Child,Mexican
Pancakes,Low,Spicy,Breakfast,Senior,American
Tandoori,High,Mild,Dinner,Child,Indian
Frittata,High,Mild,Breakfast,Senior,Italian
Biryani,Medium,Mild,Lunch,Adult,Indian
Chili,Medium,Spicy,Dinner,Adult,Mexican
Biryani,Low,Medium,Lunch,Child,Indian
Tandoori,Medium,Medium,Dinner,Child,Indian
Noodles,High,Mild,Lunch,Child,Chinese
Chili,Medium,Spicy,Dinner,Senior,Mexican
Lasagna,Low,Mild,Dinner,Senior,Italian
Frittata,Low,Medium,Breakfast,Adult,Italian
Steak,Low,Medium,Dinner,Child,American
Fries,Low,Spicy,Lunch,Child,American
Curry,Low,Mild,Lunch,Adult,Indian
Curry,Medium,Mild,Lunch,Adult,Indian
Risotto,Medium,Mild,Dinner,Adult,Italian
Burrito,Medium,Medium,Lunch,Senior,Mexican
Idli,Low,Mild,Breakfast,Senior,Indian
Idli,Low,Medium,Breakfast,Senior,Indian
Pancakes,High,Mild,Breakfast,Child,American
Dumplings,Medium,Mild,Dinner,Child,Chinese
Tacos,Low,Mild,Breakfast,Adult,Mexican
Curry,Medium,Mild,Lunch,Child,Indian
Lasagna,Medium,Mild,Dinner,Adult,Italian
Idli,Low,Medium,Breakfast,Adult,Indian
Biryani,Medium,Mild,Lunch,Child,Indian
Risotto,High,Mild,Dinner,Senior,Italian
Pizza,High,Medium,Lunch,Adult,Italian
Dim Sum,High,Medium,Breakfast,Child,Chinese
Paneer,High,Medium,Dinner,Adult,Indian
Enchilada,High,Spicy,Dinner,Child,Mexican
Dumplings,Low,Spicy,Dinner,Adult,Chinese
Enchilada,High,Mild,Dinner,Senior,Mexican
Pizza,Low,Spicy,Lunch,Senior,Italian
Idli,High,Spicy,Breakfast,Child,Indian
Biryani,High,Spicy,Lunch,Adult,Indian
Tandoori,High,Spicy,Dinner,Senior,Indian
Burrito,Low,Medium,Lunch,Senior,Mexican
Curry,High,Medium,Lunch,Senior,Indian
Pancakes,High,Mild,Breakfast,Child,American
Burrito,High,Medium,Lunch,Adult,Mexican
Dim Sum,High,Spicy,Breakfast,Child,Chinese
Pancakes,High,Medium,Breakfast,Adult,American
Dim Sum,Medium,Medium,Breakfast,Senior,Chinese
Sweet & Sour,Medium,Mild,Dinner,Senior,Chinese
Lasagna,Medium,Mild,Dinner,Child,Italian
Idli,Medium,Spicy,Breakfast,Child,Indian
Paratha,Low,Mild,Breakfast,Senior,Indian
Fries,Low,Spicy,Lunch,Adult,American
Burrito,Medium,Medium,Lunch,Child,Mexican
Dumplings,Medium,Medium,Dinner,Adult,Chinese
Tacos,Low,Mild,Breakfast,Adult,Mexican
Tacos,Low,Spicy,Breakfast,Senior,Mexican
Steak,Medium,Medium,Dinner,Adult,American
Idli,High,Mild,Breakfast,Child,Indian
Dim Sum,High,Medium,Breakfast,Adult,Chinese
Paneer,Low,Medium,Dinner,Child,Indian
Enchilada,High,Mild,Dinner,Child,Mexican
Paneer,Medium,Spicy,Dinner,Child,Indian
Dim Sum,Medium,Medium,Breakfast,Child,Chinese
Idli,Medium,Spicy,Breakfast,Senior,Indian
Noodles,Medium,Medium,Lunch,Adult,Chinese
Lasagna,Low,Spicy,Dinner,Adult,Italian
Dim Sum,Low,Spicy,Breakfast,Child,Chinese
Noodles,Medium,Medium,Lunch,Adult,Chinese
Tandoori,Medium,Spicy,Dinner,Senior,Indian
Tandoori,Medium,Mild,Dinner,Adult,Indian
Quesadilla,Medium,Mild,Lunch,Adult,Mexican
Dim Sum,Medium,Mild,Breakfast,Adult,Chinese
Idli,High,Medium,Breakfast,Senior,Indian
Paratha,Low,Mild,Breakfast,Child,Indian
Fried Rice,High,Medium,Lunch,Senior,Chinese
Pancakes,Medium,Medium,Breakfast,Child,American
Paneer,Low,Medium,Dinner,Adult,Indian
Sweet & Sour,Low,Mild,Dinner,Senior,Chinese
Pancakes,Low,Mild,Breakfast,Senior,American
Dumplings,Low,Spicy,Dinner,Senior,Chinese
Enchilada,High,Mild,Dinner,Adult,Mexican
Chili,Medium,Medium,Dinner,Child,Mexican
Frittata,Medium,Spicy,Breakfast,Adult,Italian
Noodles,Low,Medium,Lunch,Child,Chinese
Tacos,Medium,Medium,Breakfast,Adult,Mexican
Tacos,Low,Mild,Breakfast,Child,Mexican
Fries,Medium,Medium,Lunch,Adult,American
Dim Sum,High,Spicy,Breakfast,Adult,Chinese
Fries,Low,Medium,Lunch,Adult,American
Frittata,High,Mild,Breakfast,Child,Italian
Curry,High,Medium,Lunch,Adult,Indian
Pasta,Low,Medium,Lunch,Senior,Italian
Frittata,Medium,Mild,Breakfast,Senior,Italian
Risotto,High,Medium,Dinner,Child,Italian
Frittata,Medium,Mild,Breakfast,Child,Italian
Pancakes,Medium,Medium,Breakfast,Adult,American
Idli,High,Spicy,Breakfast,Senior,Indian
Pasta,Medium,Mild,Lunch,Child,Italian
Risotto,High,Medium,Dinner,Child,Italian
Paneer,Medium,Mild,Dinner,Adult,Indian
Noodles,Low,Mild,Lunch,Child,Chinese
Fried Rice,Low,Medium,Lunch,Senior,Chinese
Paneer,High,Mild,Dinner,Adult,Indian
Dim Sum,Low,Medium,Breakfast,Child,Chinese
Quesadilla,High,Spicy,Lunch,Adult,Mexican
Noodles,Medium,Medium,Lunch,Adult,Chinese
Pizza,Medium,Medium,Lunch,Senior,Italian
Chili,High,Mild,Dinner,Child,Mexican
Paneer,Low,Mild,Dinner,Child,Indian
Salad,High,Spicy,Dinner,Senior,American
Pasta,High,Mild,Lunch,Senior,Italian
Tacos,Medium,Spicy,Breakfast,Adult,Mexican
Frittata,Low,Mild,Breakfast,Adult,Italian
Frittata,High,Mild,Breakfast,Adult,Italian
Curry,Low,Mild,Lunch,Senior,Indian
Frittata,Low,Medium,Breakfast,Child,Italian
Paratha,Low,Mild,Breakfast,Child,Indian
Biryani,Medium,Medium,Lunch,Child,Indian
Chili,High,Medium,Dinner,Child,Mexican
Steak,Low,Medium,Dinner,Child,American
Salad,Medium,Mild,Dinner,Child,American
Pancakes,Low,Mild,Breakfast,Senior,American
Tacos,High,Mild,Breakfast,Adult,Mexican
Salad,High,Medium,Dinner,Senior,American
Risotto,Low,Medium,Dinner,Child,Italian
Lasagna,Medium,Spicy,Dinner,Senior,Italian
Quesadilla,Low,Mild,Lunch,Senior,Mexican
